Application_ID,Candidate_Name,Gender,Age,City,State,Qualification,Specialization,College_Name,Graduation_Year,Experience_Years,Previous_Company,Applied_Role,Department,Skills,Certification,Expected_Salary_LPA,Current_Salary_LPA,Notice_Period_Days,Application_Date,Interview_Score,Technical_Test_Score,Communication_Score,Status,Work_Mode,Preferred_Location
APP0011,Taran Gara,Male,38,Delhi,Delhi,M.Tech,AI & ML,Upadhyay and Sons Institute,2022,3,Accenture,Backend Developer,Software Development,Node.js;MongoDB;APIs,Google Data Analytics,18.5,14.6,45,2025-04-09,66.0,,66.0,Rejected,Remote,Kochi
APP0012,Ryan Ahluwalia,Female,27,Bhubaneswar,Odisha,M.Sc Data Science,Software Engineering,Dass-Sanghvi Institute,2020,4,TCS,Data Analyst,Analytics,Python;Pandas;Power BI,Google Data Analytics,7.0,3.4,60,2025-09-06,94.0,65.0,,Selected,Hybrid,Hyderabad
APP0013,Devansh Aurora,Male,38,Bhubaneswar,Odisha,B.Tech,Cloud Computing,"Brar, Bains and Gola Institute",2024,1,TCS,Business Analyst,Business Intelligence,Excel;SQL;Analytics,AWS Certified,25.6,21.7,90,2026-05-11,,69.0,78.0,Rejected,Onsite,Bhubaneswar
APP0014,Lakshay Soni,Male,22,Kochi,Kerala,BCA,Information Technology,Khurana LLC Institute,2026,0,,Product Analyst,Product,Analytics;Agile;SQL,CEH,33.8,,90,2025-03-03,65.0,64.0,,Pending,Onsite,Chennai
APP0015,Vardaniya Madan,Female,24,Bhubaneswar,Odisha,B.Tech,Data Science,"Barad, Manda and Wali Institute",2023,1,Oracle,QA Engineer,Testing,Selenium;Java;Manual Testing,IBM AI,26.2,24.2,30,2025-01-05,85.0,,80.0,Rejected,Remote,Bhubaneswar
APP0016,Keya Dey,Male,24,Bangalore,Karnataka,MBA,AI & ML,Chaudhry-Das Institute,2025,1,Cognizant,Backend Developer,Software Development,Node.js;MongoDB;APIs,IBM AI,17.6,14.4,90,2025-05-16,79.0,,66.0,Selected,Onsite,Chennai
APP0017,Urvi Gade,Male,29,Bangalore,Karnataka,B.E.,Business Analytics,Dewan and Sons Institute,2020,5,Oracle,QA Engineer,Testing,Selenium;Java;Manual Testing,CEH,11.8,7.2,90,2025-06-20,63.0,,62.0,Selected,Remote,Mumbai
APP0018,Faiyaz Bhardwaj,Male,32,Bhubaneswar,Odisha,B.E.,Data Science,Kulkarni-Rajagopal Institute,2021,5,Persistent,AI Engineer,AI/ML,Python;TensorFlow;NLP,Azure AI,29.9,26.6,45,2026-04-06,,68.0,,Pending,Hybrid,Kolkata
APP0019,Aarav Krishnamurthy,Male,24,Jaipur,Rajasthan,M.Tech,Computer Science,Chandra-Issac Institute,2025,1,IBM,AI Engineer,AI/ML,Python;TensorFlow;NLP,Oracle Java,34.3,30.1,30,2025-05-17,86.0,,86.0,Rejected,Hybrid,Hyderabad
APP0020,Reyansh Dayal,Female,21,Kochi,Kerala,B.Tech,Cyber Security,"Varughese, Chakrabarti and Buch Institute",2025,1,Wipro,DevOps Engineer,Cloud,Docker;Kubernetes;CI/CD,,24.5,21.9,45,2025-12-14,77.0,,,Selected,Remote,Kolkata
APP0021,Abram Sur,Female,21,Delhi,Delhi,BCA,Data Science,Kant and Sons Institute,2017,8,Tech Mahindra,Backend Developer,Software Development,Node.js;MongoDB;APIs,CEH,17.5,12.6,15,2025-12-29,,96.0,76.0,Pending,Hybrid,Kolkata
APP0022,Romil Bora,Female,26,Chennai,Tamil Nadu,BCA,Cyber Security,"Bose, Talwar and Viswanathan Institute",2017,8,Accenture,Data Scientist,Analytics,Python;Machine Learning;SQL,Scrum Master,19.7,16.0,15,2025-12-07,,78.0,,Rejected,Hybrid,Bangalore
APP0023,Lavanya Bora,Male,30,Delhi,Delhi,B.E.,Data Science,Rajagopal Ltd Institute,2021,4,Wipro,Frontend Developer,Web Development,HTML;CSS;React,AWS Certified,17.7,15.8,15,2025-02-17,90.0,,,Selected,Hybrid,Kolkata
APP0024,Dhanush Sood,Male,34,Kochi,Kerala,B.E.,AI & ML,"Brahmbhatt, Gola and Khare Institute",2021,4,,Data Analyst,Analytics,Python;Pandas;Power BI,Scrum Master,31.5,28.2,60,2026-04-03,,85.0,69.0,Selected,Onsite,Bangalore
APP0025,Mohanlal Mane,Male,36,Bhubaneswar,Odisha,M.Tech,Cyber Security,Wali Group Institute,2022,4,,Data Scientist,Analytics,Python;Machine Learning;SQL,Oracle Java,28.8,25.1,45,2026-04-05,,,,Pending,Hybrid,Ahmedabad
APP0026,Stuvan Boase,Female,25,Bangalore,Karnataka,MBA,Data Science,Sastry-Bhandari Institute,2022,4,Infosys,QA Engineer,Testing,Selenium;Java;Manual Testing,CEH,26.1,24.2,60,2025-04-29,,94.0,68.0,Rejected,Onsite,Noida
APP0027,Aniruddh Tara,Female,34,Delhi,Delhi,BCA,Data Science,Sengupta and Sons Institute,2024,1,IBM,Java Developer,Software Development,Java;Spring Boot;MySQL,Oracle Java,16.1,12.0,45,2026-01-21,,90.0,,Rejected,Hybrid,Pune
APP0028,Umang Jayaraman,Female,25,Delhi,Delhi,M.Sc Data Science,Business Analytics,"Anne, Saran and Wagle Institute",2017,7,Wipro,Frontend Developer,Web Development,HTML;CSS;React,AWS Certified,28.7,24.8,45,2025-02-12,89.0,94.0,85.0,Rejected,Hybrid,Bangalore
APP0029,Amani Varty,Female,28,Noida,Uttar Pradesh,MBA,Information Technology,"Kade, Khalsa and Bhavsar Institute",2023,2,,Frontend Developer,Web Development,HTML;CSS;React,,12.6,7.8,15,2026-05-03,,,61.0,Selected,Remote,Bangalore
APP0030,Anvi Raju,Male,26,Kochi,Kerala,MCA,Information Technology,"Sarkar, Jhaveri and Raj Institute",2020,6,HCL,Python Developer,Software Development,Python;Django;SQL,AWS Certified,11.4,8.5,45,2025-11-07,67.0,,83.0,Pending,Onsite,Bhubaneswar
APP0031,Myra Kaur,Female,32,Delhi,Delhi,B.Tech,Cloud Computing,Konda and Sons Institute,2018,8,TCS,Full Stack Developer,Web Development,React;Node.js;SQL,CEH,6.4,2.6,60,2025-09-30,75.0,79.0,,Selected,Hybrid,Chennai
APP0032,Diya Shankar,Male,23,Ahmedabad,Gujarat,MCA,Business Analytics,"Mann, Kaur and Ahluwalia Institute",2018,8,Capgemini,Business Analyst,Business Intelligence,Excel;SQL;Analytics,Microsoft Power BI,17.5,13.6,90,2026-03-13,,,,Pending,Onsite,Delhi
APP0033,Neysa Kala,Male,23,Chennai,Tamil Nadu,B.E.,Software Engineering,Aggarwal Inc Institute,2021,4,IBM,Python Developer,Software Development,Python;Django;SQL,Scrum Master,9.6,7.8,30,2025-09-22,,,95.0,Pending,Hybrid,Ahmedabad
APP0034,Shalv Swaminathan,Female,32,Jaipur,Rajasthan,MBA,Business Analytics,Buch Inc Institute,2022,4,Cognizant,BI Developer,Analytics,Power BI;DAX;SQL,IBM AI,6.9,5.0,45,2025-08-06,,,,Selected,Remote,Jaipur
APP0035,Yuvaan Warrior,Male,30,Bangalore,Karnataka,B.E.,Cloud Computing,"Bhavsar, Varkey and Dugal Institute",2024,0,,Frontend Developer,Web Development,HTML;CSS;React,Google Data Analytics,20.6,,45,2025-02-21,71.0,,,Selected,Onsite,Gurgaon
APP0036,Prerak Sarna,Female,31,Nagpur,Maharashtra,B.E.,Computer Science,Karpe-Bera Institute,2026,0,,QA Engineer,Testing,Selenium;Java;Manual Testing,IBM AI,21.2,,60,2025-09-03,,66.0,,Selected,Remote,Delhi
APP0037,Vritika Sama,Male,37,Noida,Uttar Pradesh,M.Tech,Business Analytics,"Varughese, Sule and Gera Institute",2018,6,IBM,Data Analyst,Analytics,Python;Pandas;Power BI,IBM AI,25.3,23.7,90,2025-11-07,79.0,75.0,,Rejected,Hybrid,Kolkata
APP0038,Indrajit Sehgal,Male,26,Kolkata,West Bengal,B.Tech,Software Engineering,Rajagopalan and Sons Institute,2018,6,IBM,Java Developer,Software Development,Java;Spring Boot;MySQL,,7.1,3.0,60,2025-10-10,,65.0,75.0,Rejected,Remote,Bangalore
APP0039,Dharmajan Balakrishnan,Male,29,Hyderabad,Telangana,M.Sc Data Science,AI & ML,"Sunder, Andra and Dyal Institute",2017,8,Infosys,Cyber Security Analyst,Security,Network Security;Python;SIEM,AWS Certified,6.2,4.3,30,2025-11-28,76.0,87.0,94.0,Rejected,Onsite,Jaipur
APP0040,Dhruv Bhardwaj,Male,34,Kochi,Kerala,MBA,Cloud Computing,Kota-Saran Institute,2022,4,HCL,Cyber Security Analyst,Security,Network Security;Python;SIEM,IBM AI,18.5,16.3,15,2025-11-03,,,88.0,Selected,Remote,Ahmedabad
APP0041,Neelofar Bains,Female,36,Kochi,Kerala,B.Tech,Business Analytics,"Handa, Borde and Sem Institute",2014,10,Tech Mahindra,Python Developer,Software Development,Python;Django;SQL,CEH,29.5,26.2,45,2025-10-27,,,77.0,Rejected,Onsite,Mumbai
APP0042,Darshit De,Male,33,Kochi,Kerala,M.Sc Data Science,Computer Science,Ganesan-Kurian Institute,2023,2,Persistent,Machine Learning Engineer,AI/ML,Scikit-learn;Python;Deep Learning,Scrum Master,25.5,23.3,60,2025-06-15,85.0,89.0,,Rejected,Remote,Bangalore
APP0043,Mishti Sur,Female,24,Gurgaon,Haryana,B.Tech,Data Science,Koshy-Dhar Institute,2019,6,LTIMindtree,Backend Developer,Software Development,Node.js;MongoDB;APIs,Google Data Analytics,23.4,19.4,45,2026-03-27,,95.0,,Pending,Remote,Gurgaon
APP0044,Shayak Mallick,Male,35,Delhi,Delhi,BCA,AI & ML,"Chopra, Kalita and Devi Institute",2025,1,Accenture,Data Analyst,Analytics,Python;Pandas;Power BI,Oracle Java,18.3,16.8,90,2025-08-30,,,,Pending,Onsite,Bhubaneswar
APP0045,Shaan Srinivas,Female,32,Nagpur,Maharashtra,MCA,Software Engineering,Gera-Bobal Institute,2024,1,IBM,Data Analyst,Analytics,Python;Pandas;Power BI,ISTQB,14.5,10.3,30,2025-08-17,77.0,,91.0,Pending,Remote,Kolkata
APP0046,Tejas Sahni,Female,24,Delhi,Delhi,M.Sc Data Science,Business Analytics,"Sanghvi, Dewan and Dixit Institute",2015,10,Infosys,DevOps Engineer,Cloud,Docker;Kubernetes;CI/CD,Scrum Master,5.4,1.4,60,2025-09-15,,,62.0,Selected,Onsite,Nagpur
APP0047,Advik Date,Female,36,Delhi,Delhi,M.Sc Data Science,Computer Science,"Iyengar, Mangat and Chatterjee Institute",2025,0,,AI Engineer,AI/ML,Python;TensorFlow;NLP,,28.2,,15,2026-05-04,,85.0,,Selected,Onsite,Ahmedabad
APP0048,Kismat Guha,Male,30,Bhubaneswar,Odisha,MCA,Cloud Computing,"Dube, Dhingra and Lalla Institute",2023,1,Accenture,Cyber Security Analyst,Security,Network Security;Python;SIEM,Google Data Analytics,6.8,1.9,30,2025-06-16,,,61.0,Pending,Hybrid,Kolkata
APP0049,Nitara Ram,Female,35,Ahmedabad,Gujarat,MCA,Computer Science,Mahal-Rao Institute,2026,0,,Machine Learning Engineer,AI/ML,Scikit-learn;Python;Deep Learning,Microsoft Power BI,6.4,,45,2025-11-23,84.0,91.0,,Pending,Onsite,Nagpur
APP0050,Darshit Singh,Male,33,Mumbai,Maharashtra,BCA,Cloud Computing,Banik Inc Institute,2022,2,HCL,Business Analyst,Business Intelligence,Excel;SQL;Analytics,IBM AI,13.3,8.5,45,2025-02-24,,79.0,,Selected,Onsite,Delhi
APP0051,Keya Magar,Female,25,Hyderabad,Telangana,MBA,Information Technology,Uppal Inc Institute,2018,6,Persistent,Python Developer,Software Development,Python;Django;SQL,,28.1,23.2,15,2025-11-14,,,74.0,Rejected,Hybrid,Pune
APP0052,Ayesha Butala,Female,26,Kolkata,West Bengal,MCA,Business Analytics,"Bhatnagar, Dugar and Salvi Institute",2018,8,,Backend Developer,Software Development,Node.js;MongoDB;APIs,IBM AI,6.8,4.6,45,2025-09-29,86.0,,,Selected,Hybrid,Mumbai
APP0053,Dhruv Grover,Male,35,Nagpur,Maharashtra,MCA,Cyber Security,Rao-Jhaveri Institute,2017,7,HCL,DevOps Engineer,Cloud,Docker;Kubernetes;CI/CD,CEH,24.9,22.3,45,2025-10-02,,,,Selected,Onsite,Bangalore
APP0054,Aarna Shukla,Male,30,Noida,Uttar Pradesh,M.Tech,Information Technology,Lall-D’Alia Institute,2018,6,Infosys,Python Developer,Software Development,Python;Django;SQL,Oracle Java,14.2,10.8,90,2025-01-24,,,67.0,Selected,Hybrid,Noida
APP0055,Stuvan Sarin,Female,27,Chennai,Tamil Nadu,M.Tech,Business Analytics,Sama PLC Institute,2021,3,Capgemini,Project Manager,Management,Agile;Scrum;Leadership,ISTQB,27.0,25.4,15,2025-12-20,86.0,,77.0,Pending,Hybrid,Gurgaon
APP0056,Raunak Wali,Female,28,Bhubaneswar,Odisha,B.E.,Data Science,Chakraborty-Walla Institute,2025,0,,Backend Developer,Software Development,Node.js;MongoDB;APIs,Azure AI,12.6,,90,2026-02-07,,65.0,61.0,Selected,Onsite,Bangalore
APP0057,Adah Cherian,Male,25,Kochi,Kerala,B.Tech,Cloud Computing,"Wagle, Baria and Jaggi Institute",2024,2,,DevOps Engineer,Cloud,Docker;Kubernetes;CI/CD,Oracle Java,28.4,25.0,90,2025-12-05,77.0,,71.0,Rejected,Remote,Nagpur
APP0058,Mamooty Bal,Male,22,Hyderabad,Telangana,MBA,Cyber Security,"Chaudhari, Sood and Gala Institute",2024,0,,Java Developer,Software Development,Java;Spring Boot;MySQL,Microsoft Power BI,17.0,,15,2025-08-20,67.0,,83.0,Selected,Hybrid,Kochi
APP0059,Nayantara Salvi,Female,33,Delhi,Delhi,BCA,Cyber Security,Bail Ltd Institute,2019,7,IBM,Database Administrator,Database,Oracle;SQL Server;Backup,Scrum Master,19.2,14.6,90,2025-05-21,64.0,80.0,64.0,Rejected,Remote,Indore
APP0060,Mishti Kulkarni,Female,33,Jaipur,Rajasthan,M.Tech,Information Technology,"Salvi, Datta and Kapoor Institute",2017,7,Tech Mahindra,Data Scientist,Analytics,Python;Machine Learning;SQL,CEH,31.2,28.0,45,2026-02-28,,88.0,,Pending,Hybrid,Chennai
APP0061,Divij Sharaf,Female,24,Nagpur,Maharashtra,M.Tech,Cloud Computing,Lalla-Sankaran Institute,2026,0,,BI Developer,Analytics,Power BI;DAX;SQL,,29.8,,60,2025-10-28,,,68.0,Pending,Remote,Hyderabad
APP0062,Nitya Mall,Female,28,Kolkata,West Bengal,M.Sc Data Science,Software Engineering,"Vasa, Sant and Kakar Institute",2024,2,Oracle,Cyber Security Analyst,Security,Network Security;Python;SIEM,,21.9,20.0,90,2025-02-28,90.0,,,Pending,Onsite,Gurgaon
APP0063,Onkar Sur,Female,23,Pune,Maharashtra,B.E.,Computer Science,"Bora, Setty and Arora Institute",2026,0,,QA Engineer,Testing,Selenium;Java;Manual Testing,Azure AI,12.5,,90,2025-10-17,,82.0,71.0,Selected,Hybrid,Delhi
APP0064,Trisha Sidhu,Male,29,Noida,Uttar Pradesh,M.Tech,Software Engineering,Shanker-Dayal Institute,2025,0,,Frontend Developer,Web Development,HTML;CSS;React,Microsoft Power BI,13.7,,90,2025-12-12,80.0,63.0,70.0,Rejected,Hybrid,Hyderabad
APP0065,Ahana  Zachariah,Male,21,Bangalore,Karnataka,B.E.,Cyber Security,Bhasin PLC Institute,2025,0,,Product Analyst,Product,Analytics;Agile;SQL,Oracle Java,17.3,,30,2025-07-22,,,62.0,Rejected,Hybrid,Chennai
APP0066,Hrishita Choudhary,Male,34,Mumbai,Maharashtra,B.Tech,Business Analytics,Kaur-Uppal Institute,2020,4,Infosys,Python Developer,Software Development,Python;Django;SQL,ISTQB,17.4,15.9,90,2026-03-18,94.0,,,Rejected,Onsite,Delhi
APP0067,Adira Salvi,Female,33,Jaipur,Rajasthan,BCA,Information Technology,"Ray, Bhat and Dara Institute",2025,1,Accenture,Database Administrator,Database,Oracle;SQL Server;Backup,IBM AI,16.6,11.7,45,2025-05-05,,83.0,87.0,Selected,Hybrid,Indore
APP0068,Diya Mannan,Male,26,Nagpur,Maharashtra,BCA,AI & ML,"Kala, Shan and Ranganathan Institute",2019,5,,Data Analyst,Analytics,Python;Pandas;Power BI,,7.5,4.5,15,2025-05-12,,,66.0,Selected,Onsite,Noida
APP0069,Taran Kumer,Female,29,Noida,Uttar Pradesh,BCA,Computer Science,Swaminathan-Sehgal Institute,2017,7,Tech Mahindra,Business Analyst,Business Intelligence,Excel;SQL;Analytics,Scrum Master,23.9,19.0,15,2025-08-15,,,,Rejected,Hybrid,Noida
APP0070,Adira Halder,Female,37,Pune,Maharashtra,B.E.,Computer Science,Gaba PLC Institute,2023,2,IBM,Java Developer,Software Development,Java;Spring Boot;MySQL,Azure AI,6.4,1.9,45,2025-06-14,,89.0,88.0,Pending,Remote,Gurgaon
APP0071,Veer Kaul,Female,22,Ahmedabad,Gujarat,M.Sc Data Science,Cloud Computing,Sheth Inc Institute,2026,0,,Machine Learning Engineer,AI/ML,Scikit-learn;Python;Deep Learning,Azure AI,25.9,,45,2025-07-29,,,,Selected,Onsite,Ahmedabad
APP0072,Rohan Dhar,Female,25,Delhi,Delhi,BCA,Information Technology,Sidhu-Jain Institute,2023,1,Cognizant,Cyber Security Analyst,Security,Network Security;Python;SIEM,Scrum Master,30.4,25.5,60,2026-05-11,,65.0,,Pending,Hybrid,Kochi
APP0073,Ritvik Deo,Male,31,Nagpur,Maharashtra,M.Sc Data Science,Business Analytics,"Varma, Sha and Dube Institute",2024,0,,Product Analyst,Product,Analytics;Agile;SQL,,24.8,,30,2026-05-02,,,79.0,Selected,Remote,Mumbai
APP0074,Gatik Kurian,Male,35,Hyderabad,Telangana,B.Tech,Software Engineering,"Chahal, Mann and Sem Institute",2019,5,Tech Mahindra,Data Scientist,Analytics,Python;Machine Learning;SQL,,29.9,25.4,30,2025-04-03,,,69.0,Rejected,Onsite,Hyderabad
APP0075,Adira Talwar,Female,37,Indore,Madhya Pradesh,BCA,Software Engineering,Jaggi-Rastogi Institute,2023,1,Wipro,Business Analyst,Business Intelligence,Excel;SQL;Analytics,Oracle Java,11.4,6.5,90,2026-02-03,90.0,,,Selected,Hybrid,Pune
APP0076,Raunak Luthra,Male,34,Ahmedabad,Gujarat,B.Tech,Data Science,"Samra, Seth and Kunda Institute",2022,2,IBM,BI Developer,Analytics,Power BI;DAX;SQL,ISTQB,33.0,29.2,15,2025-08-19,93.0,78.0,,Rejected,Remote,Delhi
APP0077,Alia Borde,Female,36,Gurgaon,Haryana,MBA,AI & ML,Shenoy-Ghosh Institute,2024,1,,Backend Developer,Software Development,Node.js;MongoDB;APIs,,34.8,32.3,60,2025-01-20,,,69.0,Pending,Remote,Bhubaneswar
APP0078,Ivan Seth,Male,28,Mumbai,Maharashtra,M.Tech,Business Analytics,Cheema-Zachariah Institute,2025,1,Infosys,Python Developer,Software Development,Python;Django;SQL,Azure AI,29.9,26.7,60,2025-03-04,,,,Pending,Onsite,Pune
APP0079,Dishani Chandra,Female,23,Ahmedabad,Gujarat,BCA,Computer Science,Mani-Manne Institute,2020,6,Accenture,Product Analyst,Product,Analytics;Agile;SQL,,26.3,24.1,15,2025-09-26,,,71.0,Pending,Hybrid,Chennai
APP0080,Dhanuk Rout,Male,35,Hyderabad,Telangana,MBA,Business Analytics,Date LLC Institute,2024,2,Persistent,Python Developer,Software Development,Python;Django;SQL,Google Data Analytics,14.7,10.8,30,2026-02-21,,68.0,,Selected,Onsite,Indore
APP0081,Saanvi Cherian,Male,27,Noida,Uttar Pradesh,MCA,Cloud Computing,"Apte, Koshy and Goel Institute",2025,1,,Java Developer,Software Development,Java;Spring Boot;MySQL,AWS Certified,5.4,3.6,45,2025-05-10,,,,Rejected,Remote,Indore
APP0082,Nirvaan Ratti,Male,34,Chennai,Tamil Nadu,B.Tech,Software Engineering,Amble-Gokhale Institute,2021,3,HCL,Database Administrator,Database,Oracle;SQL Server;Backup,Google Data Analytics,17.6,12.8,90,2026-02-15,81.0,,,Rejected,Hybrid,Mumbai
APP0083,Bhavin Lall,Female,34,Mumbai,Maharashtra,MCA,Computer Science,Barman-Mangal Institute,2018,7,Infosys,Frontend Developer,Web Development,HTML;CSS;React,,13.5,10.1,60,2026-01-08,87.0,,88.0,Rejected,Onsite,Indore
APP0084,Bhamini Shan,Female,22,Jaipur,Rajasthan,BCA,AI & ML,Bora-Raman Institute,2026,0,,Machine Learning Engineer,AI/ML,Scikit-learn;Python;Deep Learning,,30.3,,60,2025-07-05,88.0,68.0,,Rejected,Hybrid,Noida
APP0085,Ivan Tandon,Female,38,Indore,Madhya Pradesh,B.Tech,Cyber Security,"Sami, Mahajan and Buch Institute",2020,6,,Data Analyst,Analytics,Python;Pandas;Power BI,IBM AI,20.4,17.8,60,2025-09-23,77.0,67.0,,Selected,Onsite,Hyderabad
APP0086,Azad Rattan,Female,30,Jaipur,Rajasthan,M.Sc Data Science,AI & ML,Rao-Raja Institute,2025,1,LTIMindtree,BI Developer,Analytics,Power BI;DAX;SQL,,8.2,6.9,30,2025-10-09,,,82.0,Rejected,Onsite,Bangalore
APP0087,Heer Chokshi,Female,36,Mumbai,Maharashtra,BCA,Software Engineering,"Sampath, Khalsa and Dutta Institute",2016,10,,Cloud Engineer,Cloud,AWS;Azure;Linux,CEH,11.3,8.3,90,2025-06-08,,89.0,65.0,Selected,Remote,Chennai
APP0088,Azad Sangha,Male,37,Ahmedabad,Gujarat,B.E.,Cyber Security,Arora-Hayre Institute,2021,4,Wipro,Data Analyst,Analytics,Python;Pandas;Power BI,Google Data Analytics,25.1,22.7,45,2026-03-02,95.0,,92.0,Pending,Remote,Chennai
APP0089,Ivana Varughese,Male,25,Gurgaon,Haryana,B.E.,Cloud Computing,Tripathi-Vasa Institute,2025,0,,Cyber Security Analyst,Security,Network Security;Python;SIEM,,10.1,,15,2025-09-15,,,94.0,Selected,Remote,Pune
APP0090,Pranay Dua,Female,30,Ahmedabad,Gujarat,M.Tech,Information Technology,Kala PLC Institute,2019,7,LTIMindtree,QA Engineer,Testing,Selenium;Java;Manual Testing,AWS Certified,27.8,25.1,30,2025-05-06,,,,Rejected,Hybrid,Noida
APP0091,Anahita Kara,Male,35,Noida,Uttar Pradesh,B.Tech,Cyber Security,Balakrishnan Ltd Institute,2022,2,IBM,Cloud Engineer,Cloud,AWS;Azure;Linux,Oracle Java,8.5,4.1,30,2025-06-13,,,83.0,Selected,Remote,Hyderabad
APP0092,Mamooty Seshadri,Female,36,Delhi,Delhi,B.Tech,Information Technology,"Dutt, Dash and Srinivasan Institute",2025,1,Accenture,Database Administrator,Database,Oracle;SQL Server;Backup,Scrum Master,29.2,24.5,60,2025-09-13,80.0,,,Selected,Remote,Kolkata
APP0093,Jayant Tara,Female,32,Chennai,Tamil Nadu,M.Sc Data Science,Software Engineering,"Kata, Mann and Borah Institute",2025,0,,Java Developer,Software Development,Java;Spring Boot;MySQL,ISTQB,19.3,,15,2025-03-10,,94.0,,Rejected,Remote,Kolkata
APP0094,Himmat Banik,Female,38,Gurgaon,Haryana,MCA,AI & ML,"Chaudhary, Manda and Shroff Institute",2022,2,Capgemini,Cloud Engineer,Cloud,AWS;Azure;Linux,,12.9,10.4,90,2025-07-11,,67.0,,Rejected,Onsite,Pune
APP0095,Tarini Wagle,Female,30,Pune,Maharashtra,BCA,Cloud Computing,"Yohannan, Sant and Gokhale Institute",2024,0,,Java Developer,Software Development,Java;Spring Boot;MySQL,Scrum Master,14.3,,90,2025-03-25,,69.0,,Pending,Hybrid,Jaipur
APP0096,Riaan Thakur,Male,36,Kolkata,West Bengal,B.E.,Software Engineering,"Dixit, Dhaliwal and Sawhney Institute",2022,4,Wipro,Cyber Security Analyst,Security,Network Security;Python;SIEM,,15.4,11.7,30,2026-01-05,,,76.0,Selected,Onsite,Jaipur
APP0097,Anaya Dayal,Male,25,Mumbai,Maharashtra,BCA,Data Science,Edwin-Dua Institute,2025,0,,Cloud Engineer,Cloud,AWS;Azure;Linux,Scrum Master,13.7,,45,2026-03-23,,,,Pending,Hybrid,Gurgaon
APP0098,Inaaya  Seth,Female,28,Delhi,Delhi,MCA,Cyber Security,"Atwal, Aggarwal and Kothari Institute",2025,0,,Frontend Developer,Web Development,HTML;CSS;React,Oracle Java,32.3,,60,2025-05-23,,,72.0,Rejected,Hybrid,Chennai
APP0099,Diya Date,Male,32,Gurgaon,Haryana,M.Tech,Cyber Security,Bava Ltd Institute,2025,1,LTIMindtree,QA Engineer,Testing,Selenium;Java;Manual Testing,Microsoft Power BI,21.8,18.6,30,2026-05-05,,,,Selected,Onsite,Hyderabad
